7.8535565,46.6575701,707.7
7.8538027,46.6576318,709.9
7.8540477,46.6576956,712.6
7.8542923,46.6577601,714.8
7.8545351,46.6578277,717.4
7.8547794,46.6578928,720.0
7.8550238,46.6579578,722.5
7.8552681,46.6580229,724.6
7.8555124,46.6580880,727.3
7.8557567,46.6581530,729.6
7.8559810,46.6582447,731.8
7.8562016,46.6583417,733.6
7.8564176,46.6583203,735.4
7.8562630,46.6581937,736.9
7.8560555,46.6580847,738.8
7.8558676,46.6579595,740.9
7.8556819,46.6578326,743.2
7.8554949,46.6577066,745.4
7.8552973,46.6575890,747.7
7.8550888,46.6574800,750.0
7.8549107,46.6573504,752.0
7.8547751,46.6571973,754.4
7.8546592,46.6570360,756.8
7.8545408,46.6568756,758.9
7.8543485,46.6567593,761.0
7.8541009,46.6567017,762.6
7.8541281,46.6565823,764.2
7.8543694,46.6566498,766.0
7.8546054,46.6567280,767.7
7.8548415,46.6568062,769.5
7.8550821,46.6568771,771.4
7.8553255,46.6569438,773.4
7.8555816,46.6569592,775.0
7.8556613,46.6567998,777.2
7.8556641,46.6566201,779.3
7.8557372,46.6564476,781.2
7.8558350,46.6562810,783.4
7.8559284,46.6561132,785.5
7.8559617,46.6559351,787.6
7.8559541,46.6557556,790.1
7.8559011,46.6555796,792.6
7.8559101,46.6554038,795.0
7.8560563,46.6552552,797.8
7.8562139,46.6551115,800.1
7.8563708,46.6549674,802.6
7.8565305,46.6548251,805.1
7.8567187,46.6546999,807.7
7.8569068,46.6545747,810.4
7.8571032,46.6544556,812.9
7.8573002,46.6543370,815.5
7.8575042,46.6542247,818.0
7.8577322,46.6541374,820.8
7.8579755,46.6540710,823.3
7.8582248,46.6540155,826.0
7.8584740,46.6539601,828.5
7.8587107,46.6538836,830.6
7.8589562,46.6538250,832.4
7.8592179,46.6538195,834.3
7.8592263,46.6536997,835.8
7.8589660,46.6537128,837.9
7.8587048,46.6537187,840.4
7.8584428,46.6537148,842.8
7.8581810,46.6537070,845.3
7.8579198,46.6536929,848.0
7.8576641,46.6536595,850.5
7.8574145,46.6536046,852.9
7.8571649,46.6535498,855.6
7.8569153,46.6534950,858.0
7.8566563,46.6534689,860.6
7.8564014,46.6535004,863.2
7.8561984,46.6536132,865.8
7.8560020,46.6537320,868.3
7.8557825,46.6538303,870.9
7.8555391,46.6538905,873.5
7.8552840,46.6538514,876.0
7.8550346,46.6538909,878.3
7.8547971,46.6539544,879.9
7.8547745,46.6538043,880.9
7.8549320,46.6536606,882.3
7.8551135,46.6535314,884.0
7.8553298,46.6534299,885.6
7.8555342,46.6533190,887.2
7.8556594,46.6531618,888.8
7.8558465,46.6530424,890.5
7.8560988,46.6529964,891.5
7.8560637,46.6528626,892.6
7.8558151,46.6529127,893.8
7.8555702,46.6529767,895.7
7.8553240,46.6530382,897.4
